伝票日付,得意先コード,得意先名,商品コード,商品名,メーカー,単位,数量,単価
2026/05/20,G001,みどり燃料店,K201,ガス給湯器 20号,リンナイ,台,1,68000
2026/05/28,G003,山田プロパン,K101,ガスコンロ 3口,リンナイ,台,1,21500
2026/06/10,G001,みどり燃料店,K101,ガスコンロ 3口,リンナイ,台,2,22000
2026/06/12,G002,さくらガス商会,K101,ガスコンロ 3口,リンナイ,台,1,23800
2026/06/15,G001,みどり燃料店,K201,ガス給湯器 20号,リンナイ,台,1,69000
2026/06/18,G004,海山商店,K202,ガス給湯器 24号,ノーリツ,台,1,84000
2026/06/22,G003,山田プロパン,K601,ガス警報器,新コスモス,個,10,3200
2026/06/25,G005,あおぞらエネルギー,K301,ガスファンヒーター,大阪ガス,台,3,18500
2026/06/28,G002,さくらガス商会,K401,ガス炊飯器 5合,リンナイ,台,1,15800
2026/07/02,G001,みどり燃料店,K101,ガスコンロ 3口,リンナイ,台,1,21800
2026/07/05,G003,山田プロパン,K101,ガスコンロ 3口,リンナイ,台,2,21000
2026/07/06,G004,海山商店,K101,ガスコンロ 3口,リンナイ,台,1,24500
2026/07/08,G002,さくらガス商会,K201,ガス給湯器 20号,リンナイ,台,1,71000
2026/07/10,G001,みどり燃料店,K202,ガス給湯器 24号,ノーリツ,台,1,82000
2026/07/12,G005,あおぞらエネルギー,K202,ガス給湯器 24号,ノーリツ,台,2,80500
2026/07/15,G003,山田プロパン,K602,マイコンメーター S型,愛知時計,個,5,9800
2026/07/16,G001,みどり燃料店,K601,ガス警報器,新コスモス,個,20,3000
2026/07/18,G004,海山商店,K501,ガス衣類乾燥機 5kg,リンナイ,台,1,98000
2026/07/20,G002,さくらガス商会,K101,ガスコンロ 3口,リンナイ,台,2,23500
2026/07/22,G005,あおぞらエネルギー,K301,ガスファンヒーター,大阪ガス,台,4,18200
2026/07/25,G001,みどり燃料店,K701,高圧ホース 2m,,本,30,1450
2026/07/28,G003,山田プロパン,K201,ガス給湯器 20号,リンナイ,台,1,66500
2026/07/30,G004,海山商店,K202,ガス給湯器 24号,ノーリツ,台,1,83500
2026/08/02,G002,さくらガス商会,K601,ガス警報器,新コスモス,個,15,3300
2026/08/04,G001,みどり燃料店,K101,ガスコンロ 3口,リンナイ,台,1,21500
2026/08/05,G005,あおぞらエネルギー,K401,ガス炊飯器 5合,リンナイ,台,2,15200
2026/08/07,G003,山田プロパン,K301,ガスファンヒーター,大阪ガス,台,2,17800
2026/08/08,G004,海山商店,K101,ガスコンロ 3口,リンナイ,台,2,24000
2026/08/10,G001,みどり燃料店,K202,ガス給湯器 24号,ノーリツ,台,1,81500
2026/08/12,G002,さくらガス商会,K202,ガス給湯器 24号,ノーリツ,台,1,85000
2026/08/14,G003,山田プロパン,K101,ガスコンロ 3口,リンナイ,台,3,20800
2026/08/15,G005,あおぞらエネルギー,K602,マイコンメーター S型,愛知時計,個,8,9500
2026/08/17,G001,みどり燃料店,K601,ガス警報器,新コスモス,個,10,2950
2026/08/18,G004,海山商店,K501,ガス衣類乾燥機 5kg,リンナイ,台,1,97000
2026/08/20,G002,さくらガス商会,K101,ガスコンロ 3口,リンナイ,台,1,23200
2026/08/21,G003,山田プロパン,K702,調整器 単段式,,個,12,2100
2026/08/22,G005,あおぞらエネルギー,K301,ガスファンヒーター,大阪ガス,台,5,18000
2026/08/24,G001,みどり燃料店,K201,ガス給湯器 20号,リンナイ,台,1,68500
2026/08/25,G004,海山商店,K202,ガス給湯器 24号,ノーリツ,台,2,83000
2026/08/26,G002,さくらガス商会,K401,ガス炊飯器 5合,リンナイ,台,1,15600
2026/08/28,G003,山田プロパン,K601,ガス警報器,新コスモス,個,10,3150
2026/08/29,G005,あおぞらエネルギー,K701,高圧ホース 2m,,本,25,1400
2026/09/01,G001,みどり燃料店,K101,ガスコンロ 3口,リンナイ,台,2,21200
2026/09/02,G002,さくらガス商会,K201,ガス給湯器 20号,リンナイ,台,1,70500
2026/09/03,G003,山田プロパン,K101,ガスコンロ 3口,リンナイ,台,1,20500
2026/09/03,G004,海山商店,K101,ガスコンロ 3口,リンナイ,台,1,23800
2026/09/04,G005,あおぞらエネルギー,K202,ガス給湯器 24号,ノーリツ,台,1,80000
2026/09/04,G001,みどり燃料店,K501,ガス衣類乾燥機 5kg,リンナイ,台,1,95000
2026/09/05,G002,さくらガス商会,K601,ガス警報器,新コスモス,個,12,3250
2026/09/05,G003,山田プロパン,K301,ガスファンヒーター,大阪ガス,台,3,17500
2026/09/06,G004,海山商店,K202,ガス給湯器 24号,ノーリツ,台,1,82500
2026/09/06,G005,あおぞらエネルギー,K401,ガス炊飯器 5合,リンナイ,台,2,15000
2026/09/07,G001,みどり燃料店,K101,ガスコンロ 3口,リンナイ,台,1,21000
2026/09/07,G002,さくらガス商会,K101,ガスコンロ 3口,リンナイ,台,2,23000
2026/09/08,G003,山田プロパン,K201,ガス給湯器 20号,リンナイ,台,1,66000
